,description,text,date,keywords,summary,url
0,India vs West Indies: Ishant Sharma one wicket away from surpassing Kapil Dev in elite list,"© Gokul VS/Hindustan Times/Getty India fast-bowler Ishant Sharma is on the verge of adding a fresh feather into his already illustrious cap when he takes to the field against West Indies in the second and final Test of the series at the iconic Kingston Cricket Stadium in Jamaica starting Friday.



Full coverage: India tour of West Indies

India lead the series 1-0 and will look for another good performance when they lock horns against Jason Holder's troops.



As for Ishant, he will be eager to build upon his eight-wicket show in Antigua. Ishant is currently tied with legendary all-rounder Kapil Dev at the second spot in the list of most wickets taken by an Indian outside Asia.

If he manages to take one wicket in the upcoming Test, he will become the sole second place holder in this illustrious list.

Spin legend Anil Kumble tops this particular chart by some distance.



© Provided by HT Digital Streams Limited

Ishant played a pivotal role in India winning the first Test by 318 runs. In the first innings of Antigua Test, the pacer scalped his ninth five-wicket haul in the longest format to break the backbone of Windies batting line-up.

Later, Ishant attributed his good show to pace bowling partner Jasprit Bumrah.



""There was rain and after that the ball became wet and there was nothing happening (with the ball). So, we thought we can bowl with a cross seam. There was bounce. Actually Bumrah told me that we can try cross seam since there is nothing happening,"" Ishant, who returned with figures of 5/42, said.

""The attempt was, if you bowl out the opposition as soon as possible, it is good for your team. We tried that we were able to do that,"" he told fielding coach R Sridhar who interviewed him for bcci.tv.



Jamaica Test will be Team India's final match on the tour and they will be eager to end it on a winning note.

Virat Kohli's troops have been in sensational form against Windies, having won the T20I and ODI series 3-0 and 2-0 respectively. They will now look for similar level of performance in the final contest of the tour.

Watch: Experience with India A in Antigua was handy - Vihari

Watch: Sports stars — Then and now



",,"['vs', 'list', 'indies', 'good', 'antigua', 'kapil', 'wicket', 'surpassing', 'ishant', 'india', 'final', 'winning', 'sharma', 'second', 'windies', 'west', 'series', 'test']","Full coverage: India tour of West IndiesIndia lead the series 1-0 and will look for another good performance when they lock horns against Jason Holder's troops.
Ishant is currently tied with legendary all-rounder Kapil Dev at the second spot in the list of most wickets taken by an Indian outside Asia.
If he manages to take one wicket in the upcoming Test, he will become the sole second place holder in this illustrious list.
© Provided by HT Digital Streams LimitedIshant played a pivotal role in India winning the first Test by 318 runs.
In the first innings of Antigua Test, the pacer scalped his ninth five-wicket haul in the longest format to break the backbone of Windies batting line-up.",https://www.msn.com/en-in/sports/cricket/india-vs-west-indies-ishant-sharma-one-wicket-away-from-surpassing-kapil-dev-in-elite-list/ar-AAGsnkU?li=AAggjDC
1,Science Says This One Personality Trait Can Help You Live Up to 15 Percent Longer,"We often talk about the power of positive thinking—and according to new scientific research, positivity may be even more powerful than you think.

The new study, published in the journal PNAS, found that more optimistic people live much—and we mean much—longer.

The researchers at Boston University School of Medicine analyzed the overall physical and emotional health and lifestyle habits of 69,744 women for 10 years and 1,429 men for 30 years.

They found that, accounting for all other factors, the most optimistic people had an 11 to 15 percent longer lifespan on average than their more pessimistic counterparts. What’s more, the optimistic subjects had a 50 to 70 percent greater chance of reaching the age of 85.

© Provided by Best Life If you want to appear more approachable and attractive, start by monitoring your body language. Crossed arms or keeping your hands on your hips can make you seem defensive or angry, but a more casual stance can disabuse others of that impression.

We all knew that a healthy diet and a regular exercise regime are keys to a long life.

But an increasing amount of research shows that healthy aging isn’t just about what you do, it’s also about how you feel. Previous studies on the oldest living people in the world identified four personality traits that they all seemed to have in common: strong family bonds, stubbornness, a strong worth ethic, and, yep, a positive attitude.

And a 2012 study also found a link between optimism and living longer, though further research is needed to determine why that’s the case. Some researchers speculate that it may be that a positive attitude helps people make other healthy choices that affect longevity, such as not smoking and abstaining from alcohol.

“More optimistic people may be able to regulate emotions and behavior as well as bounce back from stressors and difficulties more effectively,” senior study author Laura Kubzansky, PhD, MPH, co-director of the Lee Kum Sheung Center for Health and Happiness at the Harvard T.H. Chan School of Public Health, said in a press release.

Whatever the reason, if you want to live to be 100, it’s worth looking on the bright side—there’s scientific proof! And for practical advice on how to do so, check out I Took Yale’s Happiness Course and Here’s Everything I Learned.

Gallery: Steal these 20 longevity secrets from the world’s oldest people",,"['research', 'worth', 'healthy', 'scientific', 'longer', 'personality', 'live', 'positive', 'school', 'trait', 'optimistic', '15', 'science', 'study', 'strong', 'help', 'health']","We often talk about the power of positive thinking—and according to new scientific research, positivity may be even more powerful than you think.
The new study, published in the journal PNAS, found that more optimistic people live much—and we mean much—longer.
They found that, accounting for all other factors, the most optimistic people had an 11 to 15 percent longer lifespan on average than their more pessimistic counterparts.
Previous studies on the oldest living people in the world identified four personality traits that they all seemed to have in common: strong family bonds, stubbornness, a strong worth ethic, and, yep, a positive attitude.
Whatever the reason, if you want to live to be 100, it’s worth looking on the bright side—there’s scientific proof!",https://www.msn.com/en-in/lifestyle/smart-living/science-says-this-one-personality-trait-can-help-you-live-up-to-15-percent-longer/ar-AAGrTpj?li=AAvxqQB
2,Disha Patani snapped with a mystery man in Bandra,"By Nandish

|

Disha Patani was spotted at a restaurant in Bandra, Mumbai. Disha wore light blue colour top and denim shorts for her outing. She was spotted with a mystery man for the dinner outing. All pictures/Yogen Shah",,"['picturesyogen', 'nandishdisha', 'spotted', 'patani', 'wore', 'mystery', 'man', 'bandra', 'outing', 'shah', 'restaurant', 'disha', 'snapped', 'shorts']","By Nandish|Disha Patani was spotted at a restaurant in Bandra, Mumbai.
Disha wore light blue colour top and denim shorts for her outing.
She was spotted with a mystery man for the dinner outing.
All pictures/Yogen Shah",https://www.msn.com/en-in/entertainment/bollywood/disha-patani-snapped-with-a-mystery-man-in-bandra/ss-AAGrEyZ?li=BBAgStz
3,"Banned In 2000, Kanchenjunga Will Now Be Open For Foreign Expeditions","© IE Online Media Services Pvt Ltd द्वारा प्रदत्त

India opened 137 Himalayan peaks to foreigners for mountaineering and trekking expeditions, including the world’s third-highest peak — Kanchenjunga.

These include Mt Kailash (6400m) in Jammu & Kashmir, Hardeol (7151m) in Uttarakhand and Mulkila (6571m) in Himachal Pradesh.

Located at a height of 8,586 metres, Kanchenjunga was first scaled by a British expedition in 1955 but they stopped short of the summit. Since then, no expedition has not climbed the last 10m as the mountain is considered holy and the route was closed by Sikkim govt in 2000.

Of the 137 peaks, 51 are in Uttarakhand, 24 in Sikkim, 15 in Jammu and Kashmir, and 47 in Himachal Pradesh.

However, for carrying satellite phones the expedition teams have to take prior permissions from the department of telecommunication, the home ministry said, adding that all information gathered have to be shared with locals formations.

However, many residents of Sikkim are unhappy with the decision.

Kunzang Gyatso, an Everester, told News 18,

“Religion is a priority in many places. And being a mountaineer, I feel that the way we challenge nature, we must also respect it. Sikkim has been built with the blessings of the mountain gods. If you want to climb the Kanchenjunga, you can do so from the Nepal side. In Sikkim, according to religious beliefs, we leave a gap of 10m from the top for any peak, and that becomes our summit.”

Suggested:See the best pictures of summer from Nat Geo photographers (National Geographic)





",,"['expeditions', 'peaks', 'foreign', 'jammu', 'banned', '2000', 'kashmir', 'sikkim', 'peak', 'expedition', 'kanchenjunga', 'mountain', 'himachal', 'open', 'uttarakhand']","© IE Online Media Services Pvt Ltd द्वारा प्रदत्तIndia opened 137 Himalayan peaks to foreigners for mountaineering and trekking expeditions, including the world’s third-highest peak — Kanchenjunga.
These include Mt Kailash (6400m) in Jammu & Kashmir, Hardeol (7151m) in Uttarakhand and Mulkila (6571m) in Himachal Pradesh.
Located at a height of 8,586 metres, Kanchenjunga was first scaled by a British expedition in 1955 but they stopped short of the summit.
Of the 137 peaks, 51 are in Uttarakhand, 24 in Sikkim, 15 in Jammu and Kashmir, and 47 in Himachal Pradesh.
If you want to climb the Kanchenjunga, you can do so from the Nepal side.",https://www.msn.com/en-in/travel/news/banned-in-2000-kanchenjunga-will-now-be-open-for-foreign-expeditions/ar-AAGuZqw?li=AAvxqQB
4,"The 34 Gooiest, Creamiest, Most Over-the-Top Macaroni and Cheese Recipes",You are using an older browser version. Please use a supported version for the best MSN experience.,,"['34', 'gooiest', 'recipes', 'macaroni', 'version', 'using', 'older', 'overthetop', 'creamiest', 'cheese', 'msn', 'browser', 'supported', 'experience', 'best']","You are using an older browser version.
Please use a supported version for the best MSN experience.",https://www.msn.com/en-in/foodanddrink/recipes/the-34-gooiest-creamiest-most-over-the-top-macaroni-and-cheese-recipes/ss-AAGvami?li=BBPGFFn
5,26 things hotels should stop doing now,"By Rachel Truman

|

While we love and look forward to a good hotel stay, there are more than a few quirks about them that can, quite frankly, annoy us. Towel art, for one. Why, hotels? Why? We think our overnighters would be slightly improved if they cut out the following irritating things. See if you agree...



",,"['hotels', 'quirks', 'towel', 'think', 'doing', 'stay', 'rachel', 'stop', '26', 'trumanwhile', 'overnighters', 'things', 'slightly', 'quite']","By Rachel Truman|While we love and look forward to a good hotel stay, there are more than a few quirks about them that can, quite frankly, annoy us.
Towel art, for one.
Why, hotels?
We think our overnighters would be slightly improved if they cut out the following irritating things.
See if you agree...",https://www.msn.com/en-in/travel/tips/26-things-hotels-should-stop-doing-now/ss-AAGs8mu?li=AAvxqQB
6,Neha shares pics with her 'best headrest' Angad Bedi,You are using an older browser version. Please use a supported version for the best MSN experience.,,"['version', 'using', 'angad', 'older', 'neha', 'shares', 'msn', 'supported', 'bedi', 'browser', 'headrest', 'experience', 'best', 'pics']","You are using an older browser version.
Please use a supported version for the best MSN experience.",https://www.msn.com/en-in/video/entertainment/neha-dhupia-stuns-in-green-bikini-shares-pics-with-her-best-headrest-angad-bedi/vi-AAGtBAx
7,"Gold, silver prices rise today, hover near record highs","© Getty



Gold and silver prices in India were firm today, hovering around record highs. On MCX, October gold futures prices were up 0.22% to ₹39,251 per 10 grams, after hitting a new high of ₹39,340 earlier this week.

Silver futures on MCX rose 0.42% to ₹46,841 per kg, after hitting a life-time of ₹46,925 in yesterday's session. A weaker rupee and a global rally in both gold and silver prices have lifted the precious metals to record highs in Indian markets.

In global markets, gold remained supported over $1,540 per ounce, near six-year highs of $1,556 set earlier in the week.

Meanwhile, silver prices extended their recent gains, rising 0.85% to a near two-year high of $18.32 per ounce.

Global recession worries fueled by escalating US-China trade tensions and the spectre of a no-deal Brexit have boosted the safe-haven appeal of gold this year, pushing the price of the yellow metal up nearly 20% so far this year. Along with that the turmoil in global financial markets - volatility in equity markets and currency markets and multi-year low bond yields have led investors to pile into gold ETFs.

In Pics: This is who owns most of the world's gold

(Slideshow by Lovemoney)

Current gold-backed ETF holding of about 2,450 tons are about 1,000 tons higher than the post financial crisis low of 1,425.1 tons, says a recent Bloomberg report.

""Comex gold trades in a narrow range near $1545 per ounce. Gold has turned choppy after failing to breach the 6-year high tested earlier this week. Mixed trade in equity markets and US dollar has also led to choppiness in gold,"" Kotak Securities said in a note.

Gold is also supported by continuing investor inflows into gold-backed ETFs, it added.

Analysts also say that gold-buying by many central banks across the world have also supported the prices as the financial institutions seek to diversify their holding.

Also watch: Can the finance minister's big push jump-start the economy?

Replay Video SETTINGS OFF HD HQ SD LO

(Video provided by NDTV)

The second reading of Q2 US GDP is due today. If the GDP growth confirms slowdown in economic activity, it could pressurize US dollar which will be supportive for commodities at large, including gold, Kotak said.

US Federal Reserve last month cut interest rates for the first time in about a decade and analysts expect the US central bank to lower rates again next month. Lower interest rates boost the appeal of non-interest yielding assets like gold.

Back in India, record high prices of gold have dented its demand and many jewellers have reported an increase in supply of old jewellery.",,"['tons', 'silver', 'hover', 'record', 'rates', 'gold', 'supported', 'prices', 'near', 'high', 'highs', 'today', 'rise', 'markets']","© GettyGold and silver prices in India were firm today, hovering around record highs.
A weaker rupee and a global rally in both gold and silver prices have lifted the precious metals to record highs in Indian markets.
In global markets, gold remained supported over $1,540 per ounce, near six-year highs of $1,556 set earlier in the week.
Meanwhile, silver prices extended their recent gains, rising 0.85% to a near two-year high of $18.32 per ounce.
Back in India, record high prices of gold have dented its demand and many jewellers have reported an increase in supply of old jewellery.",https://www.msn.com/en-in/money/news/gold-silver-prices-rise-today-hover-near-record-highs/ar-AAGtGXd?li=AAgfW3S
8,India vs South Africa: MS Dhoni unavailable for T20I series,"© Photo by Action Foto Sport/NurPhoto via Getty Images

Former India captain MS Dhoni will not be available to play in the three T20 matches against South Africa at home starting September 15th.

This has been confirmed to India Today by sources close to Dhoni. ""He won't be available to play these games,"" a source said.

The Indian team for the upcoming series against South Africa for both T20 and Test series is due to be picked in the first week of September.

A report quoting sources close to selection committee said the selectors would largely stick to the T20 team that did well in West Indies and Dhoni won't be picked. The selection committee can safety avoid the Dhoni question for now.

Dhoni has been out of action for the past month-and-a-half after the World Cup during which he also did a fifteen day stint with Indian territorial army in his capacity of Hon Lieutenant colonel. Dhoni is currently in USA for a Chennai Super Kings event.

In Dhoni's absence, Rishabh Pant donned the gloves in both ODIs as well the T20I matches and in the first Test against West Indies. Pant appeares the best suited to take over from Dhoni in the long run but the two-time World Cup-winning captain is yet to take a call on his future.

India's next white-ball assignment will be in November when Bangladesh come home for three T20I matches. Selectors will ultimately have to take a big judgement call on Dhoni's future, if he decides to have another crack at the next T20 World Cup scheduled in October, 2020.

Dhoni's first India captain Sourav Ganguly had earlier told India Today that Mahi should continue to play only if he is confident he can play like Dhoni of old. ""MS (Dhoni) is at a stage in his career where he has to take a decision what can I do ahead, can I contribute in the future, can I take India to victory like M.S. Dhoni, not someone else,"" he said.

Also watch: Ganguly wants BCCI to be more practical

Replay Video SETTINGS OFF HD HQ SD LO

(Video by The Times of India)",,"['vs', 't20', 'unavailable', 't20i', 'india', 'play', 'ms', 'west', 'captain', 'south', 'dhoni', 'wont', 'africa', 'world', 'series', 'matches']","© Photo by Action Foto Sport/NurPhoto via Getty ImagesFormer India captain MS Dhoni will not be available to play in the three T20 matches against South Africa at home starting September 15th.
The Indian team for the upcoming series against South Africa for both T20 and Test series is due to be picked in the first week of September.
Selectors will ultimately have to take a big judgement call on Dhoni's future, if he decides to have another crack at the next T20 World Cup scheduled in October, 2020.
Dhoni's first India captain Sourav Ganguly had earlier told India Today that Mahi should continue to play only if he is confident he can play like Dhoni of old.
""MS (Dhoni) is at a stage in his career where he has to take a decision what can I do ahead, can I contribute in the future, can I take India to victory like M.S.",https://www.msn.com/en-in/sports/cricket/india-vs-south-africa-ms-dhoni-unavailable-for-t20i-series/ar-AAGsElw?li=AAggjDC
9,"Fan pulls Kartik Aaryan's cheeks, Internet hails him for being patient. Watch viral video","With films like Sonu Ke Titu Ki Sweety, Pyar Ka Punchnama, Luka Chuppi, Kartik Aaryan has carved a niche for himself in the industry. Kartik enjoys a huge a fan base and it is also because of the actor's humble approach towards his fans.

Kartik Aaryan.

He is always seen greeting his fans and obliging them with selfies. However, sometimes fans tend to get overexcited. Recently, Kartik got surrounded by fans at airport.

While the actor was talking to them and obliging them with selfies, a fan suddenly pulled Kartik's cheeks. Kartik remained calm and was smiling throughout the time he was with the fans.

Th video of Kartik's humble gesture is going viral on internet.

And his cheeks go viral #kartikaaryan #airportdiaries #viralbhayani @viralbhayani A post shared by Viral Bhayani (@viralbhayani) on Aug 28, 2019 at 5:30am PDT

Many netizens hailed Kartik for his behaviour. A fan wrote, ""He is so patient and also cute.""

Another fan wrote, ""I think she hurt him a little.""

One more fan wrote, ""He's really soo, calm and soo good to fans u r fantastic Karthik Aryan ji.""

Rest of the comments were on the same line.

Not just Kartik, his girlfriend Sara Ali Khan is also known for her humble approach towards her fans.

Sara was recently hailed for clicking selfies with young fans at the airport.

#saraalikhan back from Bangkok #airportdiaries #viralbhayani @viralbhayani A post shared by Viral Bhayani (@viralbhayani) on Aug 20, 2019 at 10:51am PDT

Coming to Kartik, the actor will next be seen in Imtiaz Ali's Aaj Kal with Sara Ali Khan. He will be seen in Pati Patni Aur Woh with Bhumi Pednekar and Ananya Panday. He will also star in Dostana 2 with Janhvi Kapoor.

Also watch: Kartik Aryan cancels event with Katrina Kaif (Provided by Dailymotion)

",,"['wrote', 'video', 'pulls', 'patient', 'viral', 'internet', 'hails', 'cheeks', 'fans', 'selfies', 'seen', 'humble', 'soo', 'kartik', 'watch', 'fan', 'viralbhayani']","Kartik enjoys a huge a fan base and it is also because of the actor's humble approach towards his fans.
And his cheeks go viral #kartikaaryan #airportdiaries #viralbhayani @viralbhayani A post shared by Viral Bhayani (@viralbhayani) on Aug 28, 2019 at 5:30am PDTMany netizens hailed Kartik for his behaviour.
A fan wrote, ""He is so patient and also cute.""
Another fan wrote, ""I think she hurt him a little.""
One more fan wrote, ""He's really soo, calm and soo good to fans u r fantastic Karthik Aryan ji.""",https://www.msn.com/en-in/entertainment/bollywood/fan-pulls-kartik-aaryans-cheeks-internet-hails-him-for-being-patient-watch-viral-video/ar-AAGtB5r?li=AA5a2m
